depth,substrate,conc,time,fl,temp,standard,,,
1,1: arg-AMC,0,0.675347222,414.8,23.60,811.7,,,
1,1: arg-AMC,25,0.675694444,661.8,23.60,811.7,,,
1,1: arg-AMC,50,0.676388889,829.3,23.60,811.7,,,
1,1: arg-AMC,75,0.677083333,791.3,23.60,811.7,,,
1,1: arg-AMC,100,0.677083333,894.5,23.60,811.7,,, 
1,1: arg-AMC,200,0.677777778,1052,23.60,811.7,,,
1,1: arg-AMC,300,0.678472222,1038,23.60,811.7,,,
1,1: arg-AMC,400.1,0.679166667,1111,23.60,811.7,,,
1,1: arg-AMC,400.2,0.679166667,1247,23.60,811.7,,,
1,1: arg-AMC,400.3,0.679861111,1219,23.60,811.7,,,
1,2: gly-AMC,0,0.683333333,404.9,23.60,815.3,,,
1,2: gly-AMC,25,0.684027778,581.0,23.60,815.3,,,
1,2: gly-AMC,50,0.684722222,788.6,23.60,815.3,,,
1,2: gly-AMC,75,0.685416667,1471,23.60,815.3,,,
1,2: gly-AMC,100,0.686111111,1131,23.60,815.3,,,
1,2: gly-AMC,200,0.686111111,1309,23.60,815.3,,,
1,2: gly-AMC,300,0.686805556,2316,23.60,815.3,,,
1,2: gly-AMC,400.1,0.6875,2834,23.60,815.3,,,
1,2: gly-AMC,400.2,0.6875,2722,23.60,815.3,,,
1,2: gly-AMC,400.3,0.725,1060,23.60,815.3,,,
1,3: leu-AMC,0,0.688888889,387.9,23.60,815.5,,,
1,3: leu-AMC,25,0.689583333,824.9,23.60,815.5,,,
1,3: leu-AMC,50,0.690277778,1269,23.60,815.5,,,
1,3: leu-AMC,75,0.690277778,1375,23.60,815.5,,,
1,3: leu-AMC,100,0.690972222,1679,23.60,815.5,,,
1,3: leu-AMC,200,0.691666667,2779,23.60,815.5,,,
1,3: leu-AMC,300,0.691666667,3332,23.60,815.5,,,
1,3: leu-AMC,400.1,0.692361111,4273,23.60,815.5,,,
1,3: leu-AMC,400.2,0.692361111,3792,23.60,815.5,,,
1,3: leu-AMC,400.3,0.693055556,3899,23.60,815.5,,,
1,4: gly-gly-arg-AMC,0,0.694444444,385.2,23.60,802.6,,,
1,4: gly-gly-arg-AMC,25,0.695138889,977.5,23.60,802.6,,,
1,4: gly-gly-arg-AMC,50,0.695833333,1984,23.60,802.6,,,
1,4: gly-gly-arg-AMC,75,0.695833333,2941,23.60,802.6,,,
1,4: gly-gly-arg-AMC,100,0.696527778,3562,23.60,802.6,,,
1,4: gly-gly-arg-AMC,200,0.697222222,3447,23.60,802.6,,,
1,4: gly-gly-arg-AMC,300,0.697222222,3849,23.60,802.6,,,
1,4: gly-gly-arg-AMC,400.1,0.697916667,4462,23.80,802.6,,,
1,4: gly-gly-arg-AMC,400.2,0.698611111,4502,23.80,802.6,,,
1,4: gly-gly-arg-AMC,400.3,0.695833333,4324,23.80,802.6,,,
1,5: ala-ala-phe-AMC,0,0.7,410,23.80,813.9,,,
1,5: ala-ala-phe-AMC,25,0.700694444,1340,23.90,813.9,,,
1,5: ala-ala-phe-AMC,50,0.700694444,1232,23.90,813.9,,,
1,5: ala-ala-phe-AMC,75,0.701388889,1804,23.90,813.9,,,
1,5: ala-ala-phe-AMC,100,0.701388889,4467,23.90,813.9,,,
1,5: ala-ala-phe-AMC,200,0.702083333,2881,23.90,813.9,,,
