depth,substrate,conc,mass bottle,mass filled,mass sample g
1,1: arg-AMC,0,11.61,12.4,0.79
1,1: arg-AMC,25,11.72,12.42,0.7
1,1: arg-AMC,50,11.64,12.22,0.58
1,1: arg-AMC,75,11.73,12.33,0.6
1,1: arg-AMC,100,11.62,12.73,1.11
1,1: arg-AMC,200,11.83,12.31,0.48
1,1: arg-AMC,300,11.82,12.31,0.49
1,1: arg-AMC,400.1,11.78,12.27,0.49
1,1: arg-AMC,400.2,11.7,12.33,0.63
1,1: arg-AMC,400.3,11.73,12.41,0.68
1,2: gly-AMC,0,11.9,12.52,0.62
1,2: gly-AMC,25,11.9,12.46,0.56
1,2: gly-AMC,50,11.8,12.48,0.68
1,2: gly-AMC,75,11.79,12.48,0.69
1,2: gly-AMC,100,11.69,12.29,0.6
1,2: gly-AMC,200,11.82,12.57,0.75
1,2: gly-AMC,300,11.69,12.39,0.7
1,2: gly-AMC,400.1,11.72,12.47,0.75
1,2: gly-AMC,400.2,11.87,12.41,0.54
1,2: gly-AMC,400.3,11.76,12.65,0.89
1,3: leu-AMC,0,11.77,12.44,0.67
1,3: leu-AMC,25,11.75,12.58,0.83
1,3: leu-AMC,50,11.6,12.48,0.88
1,3: leu-AMC,75,11.75,12.45,0.7
1,3: leu-AMC,100,11.85,12.55,0.7
1,3: leu-AMC,200,11.68,12.61,0.93
1,3: leu-AMC,300,11.79,12.51,0.72
1,3: leu-AMC,400.1,11.63,12.61,0.98
1,3: leu-AMC,400.2,11.72,12.46,0.74
1,3: leu-AMC,400.3,11.62,12.4,0.78
1,4: gly-gly-arg-AMC,0,11.69,12.37,0.68
1,4: gly-gly-arg-AMC,25,11.74,12.51,0.77
1,4: gly-gly-arg-AMC,50,11.6,12.27,0.67
1,4: gly-gly-arg-AMC,75,11.67,12.91,1.24
1,4: gly-gly-arg-AMC,100,11.68,12.38,0.7
1,4: gly-gly-arg-AMC,200,11.59,12.45,0.86
1,4: gly-gly-arg-AMC,300,11.71,12.42,0.71
1,4: gly-gly-arg-AMC,400.1,11.72,12.45,0.73
1,4: gly-gly-arg-AMC,400.2,11.66,12.58,0.92
1,4: gly-gly-arg-AMC,400.3,11.72,12.58,0.86
1,5: ala-ala-phe-AMC,0,11.63,12.42,0.79
1,5: ala-ala-phe-AMC,25,11.7,12.42,0.72
1,5: ala-ala-phe-AMC,50,11.65,12.3,0.65
1,5: ala-ala-phe-AMC,75,11.69,12.62,0.93
1,5: ala-ala-phe-AMC,100,11.65,12.5,0.85
1,5: ala-ala-phe-AMC,200,11.62,12.41,0.79
1,5: ala-ala-phe-AMC,300,11.68,12.51,0.83
1,6: boc-val-pro-arg-AMC,0,11.64,12.67,1.03
1,6: boc-val-pro-arg-AMC,25,11.72,12.47,0.75
1,6: boc-val-pro-arg-AMC,50,11.68,12.66,0.98
1,6: boc-val-pro-arg-AMC,75,11.69,12.58,0.89
1,6: boc-val-pro-arg-AMC,100,11.73,12.73,1
1,6: boc-val-pro-arg-AMC,200,11.67,12.56,0.89
1,6: boc-val-pro-arg-AMC,300,11.7,12.72,1.02
2,1: arg-AMC,0,11.71,12.27,0.56
2,1: arg-AMC,25,11.64,12.35,0.71
2,1: arg-AMC,50,11.7,12.4,0.7
2,1: arg-AMC,75,11.71,12.43,0.72
2,1: arg-AMC,100,11.8,12.75,0.95
2,1: arg-AMC,200,11.66,12.49,0.83
2,1: arg-AMC,300,11.68,12.7,1.02
2,1: arg-AMC,400.1,11.68,12.44,0.76
2,1: arg-AMC,400.2,11.68,12.66,0.98
2,1: arg-AMC,400.3,11.8,12.94,1.14
2,2: gly-AMC,0,11.81,12.81,1
2,2: gly-AMC,25,11.68,12.6,0.92
2,2: gly-AMC,50,11.64,12.31,0.67
2,2: gly-AMC,75,11.68,12.45,0.77
2,2: gly-AMC,100,11.71,12.46,0.75
2,2: gly-AMC,200,11.69,12.55,0.86
2,2: gly-AMC,300,11.63,12.29,0.66
2,2: gly-AMC,400.1,11.63,12.71,1.08
2,2: gly-AMC,400.2,11.7,12.85,1.15
2,2: gly-AMC,400.3,11.71,12.4,0.69
2,3: leu-AMC,0,11.74,12.59,0.85
2,3: leu-AMC,25,11.73,12.46,0.73
2,3: leu-AMC,50,11.67,12.49,0.82
2,3: leu-AMC,75,11.71,12.44,0.73
2,3: leu-AMC,100,11.71,12.61,0.9
2,3: leu-AMC,200,11.68,12.58,0.9
2,3: leu-AMC,300,11.71,12.51,0.8
2,3: leu-AMC,400.1,11.71,12.49,0.78
2,3: leu-AMC,400.2,11.69,12.49,0.8
2,3: leu-AMC,400.3,11.71,12.52,0.81
2,4: gly-gly-arg-AMC,0,11.72,12.59,0.87
2,4: gly-gly-arg-AMC,25,11.7,12.49,0.79
2,4: gly-gly-arg-AMC,50,11.72,12.46,0.74
2,4: gly-gly-arg-AMC,75,11.8,12.5,0.7
2,4: gly-gly-arg-AMC,100,11.69,12.53,0.84
2,4: gly-gly-arg-AMC,200,11.71,12.53,0.82
2,4: gly-gly-arg-AMC,300,11.74,12.68,0.94
2,4: gly-gly-arg-AMC,400.1,11.69,12.38,0.69
2,4: gly-gly-arg-AMC,400.2,11.72,12.35,0.63
2,4: gly-gly-arg-AMC,400.3,11.64,12.49,0.85
2,5: ala-ala-phe-AMC,0,11.66,12.45,0.79
2,5: ala-ala-phe-AMC,25,11.71,12.56,0.85
2,5: ala-ala-phe-AMC,50,11.64,12.4,0.76
2,5: ala-ala-phe-AMC,75,11.77,12.41,0.64
2,5: ala-ala-phe-AMC,100,11.71,12.58,0.87
2,5: ala-ala-phe-AMC,200,11.71,12.58,0.87
2,5: ala-ala-phe-AMC,300,11.67,12.69,1.02
2,6: boc-val-pro-arg-AMC,0,11.74,12.69,0.95
2,6: boc-val-pro-arg-AMC,25,11.71,12.51,0.8
2,6: boc-val-pro-arg-AMC,50,11.67,12.64,0.97
2,6: boc-val-pro-arg-AMC,75,11.64,12.58,0.94
2,6: boc-val-pro-arg-AMC,100,11.74,12.62,0.88
2,6: boc-val-pro-arg-AMC,200,11.79,12.75,0.96
2,6: boc-val-pro-arg-AMC,300,11.64,12.73,1.09
3,1: arg-AMC,0,11.75,12.45,0.7
3,1: arg-AMC,25,11.75,12.36,0.61
3,1: arg-AMC,50,11.78,12.12,0.34
3,1: arg-AMC,75,11.72,12.15,0.43
3,1: arg-AMC,100,11.72,12.39,0.67
3,1: arg-AMC,200,11.73,12.42,0.69
3,1: arg-AMC,300,11.83,12.35,0.52
3,1: arg-AMC,400.1,11.76,12.37,0.61
3,1: arg-AMC,400.2,11.69,12.15,0.46
