IMG_Contig_Name,Original_Contig_Name,Bin,Contig %GC,Contig Length,Locus_Tag,IMG_Gene_ID,Gene_Start,Gene_Stop,Gene_Length,Homolog_Gene_ID,Homolog_Taxon_ID,Lineage %ID,Lineage,Product,Source,COG_ID,Cog %ID,PFAM_ID,KO_Term,KO %ID,EC_Number
WOR52_10021215,WOR1_52_54_19671,#N/A,39.0244,6888,WOR52_100212159,WOR52_10021215.31,6223,6888,665,2510093290,2510065009,30.6,"Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera;lagunensis;Caldisphaera lagunensis IC-154, DSM 15908",Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,25.74,pfam00155,KO:K00812,30.6,EC:2.6.1.1
WOR52_10000015,15,#N/A,45.5473,6176,WOR52_100000152,WOR52_10000015.5,673,912,239,638188159,638154501,54.8,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;pernix;Aeropyrum pernix K1,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,46.48,pfam00202,KO:K00823,54.8,EC:2.6.1.19
WOR52_10000661,16022,#N/A,42.1483,42322,WOR52_100006613,WOR52_10000661.6,430,1014,584,2513798915,2513237118,36.4,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Peptidase S24-like,pfam00717,COG0681,23.14,pfam07219,KO:K13280,36.4,EC:3.4.-
WOR52_10009830,WOR1_52_54_7572,#N/A,42.8267,16422,WOR52_1000983010,WOR52_10009830.33,10180,11001,821,2513798915,2513237118,33.9,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Peptidase S24-like,pfam00717,,,pfam00717,,,
WOR52_10001363,16724,#N/A,43.0897,10933,WOR52_100013638,WOR52_10001363.29,5720,6715,995,2513798915,2513237118,37,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Peptidase S24-like,pfam00717,,,pfam00717,,,
WOR52_10013586,WOR1_52_54_11593,#N/A,41.6836,26063,WOR52_1001358618,WOR52_10013586.52,14508,15236,728,2513798285,2513237118,48.4,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Methionine aminopeptidase,COG0024,COG0024,35.92,pfam00557,KO:K01265,48.4,EC:3.4.11.18
WOR52_10002878,19288,#N/A,43.5871,5871,WOR52_100028789,WOR52_10002878.21,5584,5871,287,2513798285,2513237118,52.2,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Methionine aminopeptidase,COG0024,COG0024,37.5,pfam00557,KO:K01265,52.2,EC:3.4.11.18
WOR52_10043324,WOR1_52_54_105964,#N/A,65.9684,5251,WOR52_100433243,WOR52_10043324.9,1034,2995,1961,2513799000,2513237118,39.6,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,"Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits",COG4231,COG4231,37.33,pfam00037,KO:K00179,39.6,EC:1.2.7.8
WOR52_10003356,WOR1_52_54_432,#N/A,37.2563,38423,WOR52_1000335634,WOR52_10003356.106,29872,30441,569,640896710,640753029,36.5,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;hospitalis;Ignicoccus hospitalis KIN4/I, DSM 18386",Peptidase S24-like,pfam00717,COG0681,17.86,pfam00717,KO:K13280,36.5,EC:3.4.-
WOR52_10019180,WOR1_52_54_17528,#N/A,47.5976,10198,WOR52_1001918011,WOR52_10019180.34,9866,10198,332,640897651,640753029,56.8,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;hospitalis;Ignicoccus hospitalis KIN4/I, DSM 18386",domain,pfam01855,COG0674,22.22,pfam01855,KO:K00174,56.8,EC:1.2.7.3
WOR52_10028054,WOR1_52_54_26850,#N/A,34.4307,5832,WOR52_100280544,WOR52_10028054.9,1251,1634,383,648159488,648028035,33.7,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera;aggregans;Ignisphaera aggregans AQ1.S1, DSM 17230",Peptidase S24-like,pfam00717,COG0681,26.8,pfam00717,,,
WOR52_10003933,WOR1_52_54_1122,#N/A,41.881,46114,WOR52_100039331,WOR52_10003933.1,3,449,446,646826922,646564573,73.8,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;hellenicus;Staphylothermus hellenicus P8, DSM 12710",domain,pfam01855,COG0674,42.14,pfam01855,KO:K00169,73.8,EC:1.2.7.1
WOR52_10015986,WOR1_52_54_14151,#N/A,41.9968,8153,WOR52_1001598611,WOR52_10015986.30,7594,8151,557,646826922,646564573,71.3,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;hellenicus;Staphylothermus hellenicus P8, DSM 12710",domain,pfam01855,COG0674,42.54,pfam01855,KO:K00169,71.3,EC:1.2.7.1
WOR52_10010593,WOR1_52_54_8393,#N/A,42.1425,11034,WOR52_1001059313,WOR52_10010593.44,10285,11034,749,640110142,640069332,48.2,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;marinus;Staphylothermus marinus F1, DSM 3639",domain,pfam01855,COG0674,33.04,pfam02780,KO:K00169,48.2,EC:1.2.7.1
WOR52_10002036,17397,#N/A,48.3811,7567,WOR52_100020361,WOR52_10002036.1,3,806,803,640110142,640069332,47.6,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;marinus;Staphylothermus marinus F1, DSM 3639",domain,pfam01855,COG0674,31.75,pfam02780,KO:K00169,47.6,EC:1.2.7.1
WOR52_10005227,WOR1_52_54_2571,#N/A,45.9774,19266,WOR52_1000522711,WOR52_10005227.31,8356,9255,899,2522011511,2521172705,33,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;cellulolyticus;Thermogladius cellulolyticus 1633,Peptidase S26,pfam10502,,,pfam10502,,,
WOR52_10004261,WOR1_52_54_1491,74-2,33.2248,23341,WOR52_100042616,WOR52_10004261.18,3423,4019,596,646807368,646564583,35.6,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486","Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",COG1014,COG1014,24.86,pfam01558,KO:K00180,35.6,EC:1.2.7.8
WOR52_10008036,WOR1_52_54_5629,#N/A,35.4065,13763,WOR52_1000803616,WOR52_10008036.55,11735,13336,1601,646807313,646564583,29.9,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",Peptidase S24-like,pfam00717,,,pfam11857,,,
WOR52_10036252,WOR1_52_54_35424,#N/A,40.774,5013,WOR52_100362523,WOR52_10036252.9,2556,4313,1757,646807313,646564583,33.1,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",Peptidase S24-like,pfam00717,COG0681,25,pfam05933,,,
WOR52_10013545,WOR1_52_54_11548,#N/A,51.0356,9029,WOR52_100135458,WOR52_10013545.26,8480,9028,548,640082022,640069314,47.4,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus;Hyperthermus butylicus DSM 5456,Aminotransferase class I and II,pfam00155,COG1167,37.08,pfam00155,KO:K05825,47.4,EC:2.6.1.-
WOR52_10038544,WOR1_52_54_44887,#N/A,53.1326,5778,WOR52_100385441,WOR52_10038544.1,2,361,359,640082334,640069314,42.1,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus;Hyperthermus butylicus DSM 5456,domain,pfam01855,COG0674,23.36,pfam01855,KO:K00169,42.1,EC:1.2.7.1
WOR52_10041543,WOR1_52_54_69463,#N/A,39.1233,6684,WOR52_1004154311,WOR52_10041543.35,6362,6682,320,640082475,640069314,54.3,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus;Hyperthermus butylicus DSM 5456,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.93,pfam00202,KO:K00823,54.3,EC:2.6.1.19
WOR52_10005179,WOR1_52_54_2521,45-1,56.6806,34084,WOR52_1000517925,WOR52_10005179.82,22088,22957,869,2505689354,2505679005,47,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,28.33,pfam00557,KO:K01265,47,EC:3.4.11.18
WOR52_10003187,WOR1_52_54_227,#N/A,40.803,89964,WOR52_1000318768,WOR52_10003187.203,47423,48307,884,2505689354,2505679005,46.7,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,58.62,pfam00557,KO:K01265,46.7,EC:3.4.11.18
WOR52_10019888,WOR1_52_54_18278,#N/A,45.2304,9330,WOR52_100198883,WOR52_10019888.7,923,1831,908,2505689354,2505679005,44.8,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,35.44,pfam00557,KO:K01265,44.8,EC:3.4.11.18
WOR52_10042060,WOR1_52_54_76284,#N/A,40.472,5127,WOR52_100420604,WOR52_10042060.9,2220,3161,941,2505689354,2505679005,46.9,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,37.14,pfam00557,KO:K01265,46.9,EC:3.4.11.18
WOR52_10016103,WOR1_52_54_14273,#N/A,47.8694,12954,WOR52_100161035,WOR52_10016103.15,5747,5953,206,2514086829,2513237177,40.7,Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;fontis;Fervidicoccus fontis Kam940,,,COG1142,44.44,pfam12837,KO:K00179,39.3,EC:1.2.7.8
