IMG_Contig_Name,Original_Contig_Name,Bin,Contig %GC,Contig Length,Locus_Tag,IMG_Gene_ID,Gene_Type,Gene_Start,Gene_Stop,Gene_Length,Homolog_Gene_ID,Homolog_Taxon_ID,Lineage %ID,Lineage,Product,Source,COG_ID,Cog %ID,PFAM_ID,KO_Term,KO %ID,EC_Number
SMTZ23_10018613,WORSMTZ_18612,#N/A,47.3609,9852,SMTZ23_100186131,SMTZ23_10018613.1,CDS,3,257,254,638188159,638154501,56.6,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;pernix;Aeropyrum pernix K1,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,46.43,pfam00202,KO:K00823,56.6,EC:2.6.1.19
SMTZ23_10023939,WORSMTZ_23938,#N/A,47.1549,8752,SMTZ23_100239391,SMTZ23_10023939.1,CDS,3,344,341,638188159,638154501,58.3,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;pernix;Aeropyrum pernix K1,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,46.02,pfam00202,KO:K00823,58.3,EC:2.6.1.19
SMTZ23_10072428,WORSMTZ_313119,#N/A,46.4207,5448,SMTZ23_100724284,SMTZ23_10072428.12,CDS,1581,1775,194,638188159,638154501,59.6,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;pernix;Aeropyrum pernix K1,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,45.16,pfam00202,KO:K00823,59.6,EC:2.6.1.19
SMTZ23_10016612,WORSMTZ_16611,#N/A,52.6014,10475,SMTZ23_100166123,SMTZ23_10016612.8,CDS,2038,2967,929,2513221486,2513020047,30.3,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;fermentans;Desulfurococcus fermentans Z-1312, DSM 16532",Peptidase S24-like,pfam00717,COG0681,18.62,pfam00717,,,
SMTZ23_10021227,WORSMTZ_21226,29,43.6163,9164,SMTZ23_100212273,SMTZ23_10021227.8,CDS,5745,6212,467,2513798915,2513237118,31.7,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Peptidase S24-like,pfam00717,,,pfam00717,,,
SMTZ23_10014278,WORSMTZ_14277,72,45.0318,11332,SMTZ23_1001427811,SMTZ23_10014278.32,CDS,9468,9860,392,2513798915,2513237118,30.1,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Peptidase S24-like,pfam00717,,,pfam00717,,,
SMTZ23_10001438,WORSMTZ_1437,#N/A,42.062,74452,SMTZ23_1000143849,SMTZ23_10001438.167,CDS,41342,41926,584,2513798915,2513237118,36.4,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Peptidase S24-like,pfam00717,COG0681,23.14,pfam00717,KO:K13280,36.4,EC:3.4.-
SMTZ23_10007803,WORSMTZ_7802,#N/A,42.4882,17732,SMTZ23_1000780316,SMTZ23_10007803.52,CDS,16714,17535,821,2513798915,2513237118,33.9,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Peptidase S24-like,pfam00717,,,pfam00717,,,
SMTZ23_10019481,WORSMTZ_19480,#N/A,43.7406,9929,SMTZ23_100194815,SMTZ23_10019481.16,CDS,4490,5485,995,2513798915,2513237118,37,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Peptidase S24-like,pfam00717,,,pfam00717,,,
SMTZ23_10069996,WORSMTZ_130992,#N/A,42.5982,6289,SMTZ23_100699961,SMTZ23_10069996.1,CDS,1,735,734,2513798285,2513237118,45.4,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mobilis;Desulfurococcus mobilis DSM 2161,Methionine aminopeptidase,COG0024,COG0024,33.5,pfam00557,KO:K01265,45.4,EC:3.4.11.18
