IMG_Contig_Name,Original_Contig_Name,Bin,Contig %GC,Contig Length,Locus_Tag,IMG_Gene_ID,Gene_Start,Gene_Stop,Gene_Length,Homolog_Gene_ID,Homolog_Taxon_ID,Lineage %ID,Lineage,Product,Source,COG_ID,Cog %ID,PFAM_ID,KO_Term,KO %ID,EC_Number
WOR8_10025588,WOR_8-12_25363,SG8-29,58.3893,5513,WOR8_100255882,WOR8_10025588.5,309,1706,1397,648160015,648028035,47.2,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera;aggregans;Ignisphaera aggregans AQ1.S1, DSM 17230",Glutamate-1-semialdehyde aminotransferase,COG0001,COG0001,43.78,pfam00202,KO:K01845,47.2,EC:5.4.3.8
WOR8_10033601,WOR_8-12_72907,SG8-29,59.97,6003,WOR8_100336017,WOR8_10033601.23,5526,6002,476,2522011747,2521172705,50.3,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;cellulolyticus;Thermogladius cellulolyticus 1633,domain,pfam01855,COG0674,36.36,pfam01855,KO:K00169,50.3,EC:1.2.7.1
WOR8_10021141,WOR_8-12_20742,SG8-51,43.9525,6143,WOR8_100211412,WOR8_10021141.5,999,1451,452,646808043,646564583,35.4,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",Peptidase S24-like,pfam00717,COG2932,25,pfam00717,KO:K13280,35.4,EC:3.4.-
WOR8_10003290,WOR_8-12_3289,SG8-27,44.6654,15793,WOR8_100032902,WOR8_10003290.5,228,1178,950,640082486,640069314,41,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus;Hyperthermus butylicus DSM 5456,Methionine aminopeptidase,COG0024,COG0024,36.27,pfam00557,KO:K01265,41,EC:3.4.11.18
WOR8_10003290,WOR_8-12_3289,SG8-27,44.6654,15793,WOR8_100032903,WOR8_10003290.8,1184,2101,917,650820537,650716051,47,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;cuprina;Metallosphaera cuprina Ar-4,Methionine aminopeptidase,COG0024,COG0024,30.3,pfam00557,KO:K01265,47,EC:3.4.11.18
WOR8_10001977,WOR_8-12_1976,SG8-27-1,45.3313,20498,WOR8_100019777,WOR8_10001977.23,7280,8179,899,640508015,640427120,45.5,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;sedula;Metallosphaera sedula DSM 5348,Methionine aminopeptidase,COG0024,COG0024,41.38,pfam00557,KO:K01265,45.5,EC:3.4.11.18
WOR8_10031779,WOR_8-12_39684,SG8-27,45.3549,5931,WOR8_100317791,WOR8_10031779.1,3,770,767,2500823439,2500819000,46,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;yellowstoni;Metallosphaera yellowstoni (MK1),Methionine aminopeptidase,COG0024,COG0024,39.39,pfam00557,KO:K01265,45.6,EC:3.4.11.18
WOR8_10001977,WOR_8-12_1976,SG8-27-1,45.3313,20498,WOR8_100019776,WOR8_10001977.19,6307,7224,917,2524414706,2524023197,47.9,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;acidocaldarius;Sulfolobus acidocaldarius N8,Methionine aminopeptidase,COG0024,COG0024,33.33,pfam00557,KO:K01265,47.9,EC:3.4.11.18
WOR8_10006302,WOR_8-12_6301,SG8-16,49.1977,11405,WOR8_100063022,WOR8_10006302.5,615,2021,1406,639773310,639633064,46.4,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,46.15,pfam00202,KO:K00823,46.4,EC:2.6.1.19
WOR8_10031119,WOR_8-12_34241,SG8-23-1,48.2796,5580,WOR8_100311196,WOR8_10031119.20,4415,5578,1163,639773310,639633064,49.1,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,44.55,pfam00202,KO:K00823,49.1,EC:2.6.1.19
